gene_symbol	z_score	raw_pvalue	rwr_score	rwr_rank	adj_pvalue_bh	significant
DAXX	0.2637119385032945	0.3960009477504538	0.0003274629853636	439	0.9462365527300982	False
FAM162A	0.26370598433711245	0.39600324194410563	1.42087486303184e-05	5341	0.9462365527300982	False
ZMYND19	0.26337645610583027	0.39613021774252044	3.6044225387264e-05	3196	0.9462365527300982	False
PARVG	0.26336409762934476	0.39613497999943775	9.2660557901092e-06	6254	0.9462365527300982	False
SPN	0.26267815385099647	0.3963993281696608	1.17703600364715e-05	5742	0.9462365527300982	False
PELP1	0.2624544389519582	0.39648555344946734	0.0001003502634949	1436	0.9462365527300982	False
MOS	0.2620443016178044	0.3966436437131641	2.29838347715891e-05	4220	0.9462365527300982	False
RXRG	0.26198892188583134	0.39666499151534884	3.63722881634801e-05	3175	0.9462365527300982	False
RASSF8	0.261710154627124	0.3967724555369684	6.98930603772174e-05	1935	0.9462365527300982	False
OSBP2	0.26169960566701	0.3967765222864708	1.00201181400135e-05	6089	0.9462365527300982	False
RB1	0.2612442674216146	0.39695207128734394	0.0005996878225964	191	0.9462365527300982	False
ERMP1	0.26080531173547433	0.39712132400253874	2.03636692910225e-05	4526	0.9462365527300982	False
INTS10	0.260550779175573	0.39721947565013943	2.85234473381911e-05	3725	0.9462365527300982	False
CNTROB	0.2597875084680643	0.3975138435115276	2.5014692817321e-05	4035	0.9462365527300982	False
C11ORF24	0.25939916051470147	0.3976636386827969	3.77615004707345e-06	7714	0.9462365527300982	False
SNX33	0.2588772106470472	0.3978649911017477	1.53302488021905e-05	5172	0.9462365527300982	False
SELE	0.25838178995620764	0.39805613453968197	2.36667797606279e-06	8252	0.9462365527300982	False
CDSN	0.2577502723565559	0.3982998224191828	4.75350321045626e-06	7399	0.9462365527300982	False
PTPRE	0.25738946345177033	0.39843906795393175	2.49333546929594e-05	4041	0.9462365527300982	False
MSL3	0.2571764776845098	0.3985212707687217	1.31155314013075e-05	5522	0.9462365527300982	False
SIK2	0.2567674909044985	0.398679133677865	6.07651882897645e-05	2163	0.9462365527300982	False
CSTB	0.2561888359159045	0.3989025143475242	1.50319556581903e-05	5219	0.9462365527300982	False
NOD2	0.25472166873410945	0.3994690394683092	9.28800680716294e-05	1535	0.9462365527300982	False
RAC2	0.2545128807394114	0.3995496771330227	1.93231239324346e-05	4657	0.9462365527300982	False
CEP43	0.25407626332252803	0.39971832044931604	1.1111810461608e-05	5870	0.9462365527300982	False
MAD2L1	0.2539210839497726	0.39977826293281815	0.0001335055757141	1105	0.9462365527300982	False
TIMM13	0.253501134975249	0.39994049211025456	4.21170111627515e-05	2844	0.9462365527300982	False
UBE3C	0.25291306843546046	0.4001676952803273	7.37059830713076e-05	1852	0.9462365527300982	False
FIS1	0.2526967796229011	0.40025126831446656	1.94345445224938e-05	4641	0.9462365527300982	False
PCDH20	0.25265414011460724	0.40026774456975367	3.65384275478701e-05	3161	0.9462365527300982	False
SPI1	0.2513253900435589	0.40078127329102586	6.94272737688684e-05	1947	0.9462365527300982	False
PLXNA2	0.2512903765533484	0.40079480745376844	3.08880215631374e-05	3541	0.9462365527300982	False
FAM83G	0.2506006054072482	0.4010614568035988	2.14653592061582e-05	4398	0.9462365527300982	False
