Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,module_id,module_size
Reactome_2022,Meiosis R-HSA-1500620,5/88,2.6648782111628022e-06,2.7892391943504e-05,0,0,26.595716198125835,341.365384434583,PSMC3IP;RAD51C;RAD51;MND1;BRCA2,1,50
Reactome_2022,Presynaptic Phase Of Homologous DNA Pairing And Strand Exchange R-HSA-5693616,4/40,2.9552766795183957e-06,2.899865241777425e-05,0,0,48.10144927536232,612.4237213484249,RAD51;RAD51C;XRCC2;BRCA2,1,50
Reactome_2022,Reproduction R-HSA-1474165,5/113,9.11098681738206e-06,8.414264296052841e-05,0,0,20.41358024691358,236.92061516123388,PSMC3IP;RAD51C;RAD51;MND1;BRCA2,1,50
Reactome_2022,HDR Thru MMEJ (alt-NHEJ) R-HSA-5685939,2/12,0.0003978405023918532,0.0034700532708622,0,0,83.08333333333333,650.4975835514635,RAD52;BRCA2,1,50
Reactome_2022,Cell Cycle R-HSA-1640170,7/654,0.0011390305697949,0.009411989445148,0,0,4.85679882103447,32.91733165347222,RNF168;PSMC3IP;RAD51C;RAD51;MND1;PDS5B;BRCA2,1,50
Reactome_2022,HATs Acetylate Histones R-HSA-3214847,3/106,0.0023667454978385,0.0185789521580322,0,0,12.299318322660609,74.36462396066707,MORF4L1;MORF4L2;USP22,1,50
Reactome_2022,Impaired BRCA2 Binding To RAD51 R-HSA-9709570,2/35,0.0034573756419477,0.0258479988469426,0,0,25.147727272727277,142.5183432834292,RAD51;BRCA2,1,50
Reactome_2022,HDR Thru Single Strand Annealing (SSA) R-HSA-5685938,2/37,0.0038576315924392,0.0275294618187708,0,0,23.70833333333333,131.76384828572083,RAD52;RAD51,1,50
KEGG_2021_Human,mTOR signaling pathway,7/154,3.150618964787629e-09,3.875261326688784e-07,0,0,39.32936507936508,769.8985504438347,STK11;CAB39;CAB39L;STRADA;STRADB;PTEN;AKT1,2,31
KEGG_2021_Human,AMPK signaling pathway,6/120,2.678697023897213e-08,1.6473986696967856e-06,0,0,41.8,728.7976405657394,STK11;CAB39;CAB39L;STRADA;STRADB;AKT1,2,31
KEGG_2021_Human,Apoptosis,6/142,7.327507399408607e-08,3.004278033757529e-06,0,0,34.99941176470588,575.0069227744575,CASP8;CASP10;CASP6;TNFSF10;AKT1;TNFRSF10B,2,31
KEGG_2021_Human,Lipid and atherosclerosis,6/215,8.46588470905413e-07,2.603259548034145e-05,0,0,22.69090909090909,317.26545102868533,PYCARD;CASP8;CASP6;TNFSF10;AKT1;TNFRSF10B,2,31
KEGG_2021_Human,Salmonella infection,6/249,1.988559648873585e-06,4.8918567362290194e-05,0,0,19.482469135802468,255.7678025908271,PYCARD;CASP8;TNFSF10;AKT1;TNFRSF10B;PIK3C3,2,31
