Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	E2F-enabled Inhibition Of Pre-Replication Complex Formation R-HSA-113507	2/9	2.640179e-04	1.489815e-03	0	0	1.074825e+02	8.856012e+02	ORC4;MCM8
Reactome_2022	TP53 Regulates Transcription Of Caspase Activators And Caspases R-HSA-6803207	2/12	4.814776e-04	2.593414e-03	0	0	7.522642e+01	5.746283e+02	ATM;TP53
Reactome_2022	HDR Thru MMEJ (alt-NHEJ) R-HSA-5685939	2/12	4.814776e-04	2.593414e-03	0	0	7.522642e+01	5.746283e+02	RAD50;RBBP8
Reactome_2022	Mismatch Repair (MMR) Directed By MSH2:MSH3 (MutSbeta) R-HSA-5358606	2/14	6.615177e-04	3.483993e-03	0	0	6.268239e+01	4.588961e+02	PMS2;MLH1
Reactome_2022	SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232	4/168	1.173594e-03	5.959641e-03	0	0	9.460067e+00	6.383355e+01	BLM;BRCA1;TP53BP1;TP53
Reactome_2022	Processive Synthesis On C-strand Of Telomere R-HSA-174414	2/19	1.232162e-03	5.959641e-03	0	0	4.423529e+01	2.963316e+02	BLM;TERF2
Reactome_2022	Regulation Of TP53 Activity Thru Methylation R-HSA-6804760	2/19	1.232162e-03	5.959641e-03	0	0	4.423529e+01	2.963316e+02	ATM;TP53
Reactome_2022	SUMOylation Of Transcription Factors R-HSA-3232118	2/19	1.232162e-03	5.959641e-03	0	0	4.423529e+01	2.963316e+02	TP53BP1;TP53
Reactome_2022	SUMOylation R-HSA-2990846	4/174	1.335797e-03	6.228809e-03	0	0	9.123414e+00	6.038083e+01	BLM;BRCA1;TP53BP1;TP53
Reactome_2022	TP53 Regulates Transcription Of Genes Involved In Cytochrome C Release R-HSA-6803204	2/20	1.366658e-03	6.228809e-03	0	0	4.177568e+01	2.755268e+02	ATM;TP53
Reactome_2022	Processing Of Intronless Pre-mRNAs R-HSA-77595	2/20	1.366658e-03	6.228809e-03	0	0	4.177568e+01	2.755268e+02	CSTF2;CSTF1
Reactome_2022	E2F Mediated Regulation Of DNA Replication R-HSA-113510	2/22	1.655725e-03	7.403901e-03	0	0	3.759434e+01	2.407360e+02	ORC4;MCM8
Reactome_2022	Processing Of Capped Intronless Pre-mRNA R-HSA-75067	2/29	2.874421e-03	1.261551e-02	0	0	2.783788e+01	1.629046e+02	CSTF2;CSTF1
Reactome_2022	Metalloprotease DUBs R-HSA-5689901	2/31	3.280571e-03	1.413628e-02	0	0	2.591542e+01	1.482294e+02	BARD1;BRCA1
Reactome_2022	Activation Of Pre-Replicative Complex R-HSA-68962	2/32	3.493127e-03	1.478341e-02	0	0	2.505031e+01	1.417086e+02	ORC4;MCM8
Reactome_2022	Oncogene Induced Senescence R-HSA-2559585	2/33	3.711958e-03	1.516783e-02	0	0	2.424102e+01	1.356575e+02	CDKN2D;TP53
Reactome_2022	Telomere C-strand (Lagging Strand) Synthesis R-HSA-174417	2/33	3.711958e-03	1.516783e-02	0	0	2.424102e+01	1.356575e+02	BLM;TERF2
Reactome_2022	Cellular Responses To Stimuli R-HSA-8953897	7/736	3.880616e-03	1.555126e-02	0	0	3.844079e+00	2.134141e+01	CDKN2D;MT2A;BRIP1;RAD50;ATM;TERF2;TP53
Reactome_2022	Transcriptional Regulation By E2F6 R-HSA-8953750	2/34	3.937028e-03	1.555126e-02	0	0	2.348231e+01	1.300293e+02	RBBP8;BRCA1
Reactome_2022	Activation Of ATR In Response To Replication Stress R-HSA-176187	2/36	4.405749e-03	1.684133e-02	0	0	2.209878e+01	1.198825e+02	ORC4;MCM8
Reactome_2022	Regulation Of TP53 Degradation R-HSA-6804757	2/36	4.405749e-03	1.684133e-02	0	0	2.209878e+01	1.198825e+02	ATM;TP53
Reactome_2022	Regulation Of TP53 Expression And Degradation R-HSA-6806003	2/37	4.649330e-03	1.749034e-02	0	0	2.146631e+01	1.152962e+02	ATM;TP53
Reactome_2022	TP53 Regulates Transcription Of Cell Death Genes R-HSA-5633008	2/44	6.523338e-03	2.415674e-02	0	0	1.788230e+01	8.999033e+01	ATM;TP53
Reactome_2022	Disease R-HSA-1643685	11/1736	6.881893e-03	2.509244e-02	0	0	2.640580e+00	1.314708e+01	MSH6;BARD1;BLM;BRIP1;RAD50;RBBP8;PMS2;ATM;BRCA1;MLH1;TP53
Reactome_2022	Mitotic G1 Phase And G1/S Transition R-HSA-453279	3/147	7.720110e-03	2.772221e-02	0	0	7.933093e+00	3.858598e+01	CDKN2D;ORC4;MCM8
